station_id,station_name,sensor,unit,reading_index,timestamp_utc,value
A,Station A — Rooftop Node,temp,°C,0,2026-08-26T06:30:09.172699+00:00,25.5
A,Station A — Rooftop Node,temp,°C,1,2026-08-26T06:45:09.172699+00:00,25.2
A,Station A — Rooftop Node,temp,°C,2,2026-08-26T07:00:09.172699+00:00,24.9
A,Station A — Rooftop Node,temp,°C,3,2026-08-26T07:15:09.172699+00:00,24.3
A,Station A — Rooftop Node,temp,°C,4,2026-08-26T07:30:09.172699+00:00,24.5
A,Station A — Rooftop Node,humidity,%,0,2026-08-26T06:30:09.172699+00:00,51.1
A,Station A — Rooftop Node,humidity,%,1,2026-08-26T06:45:09.172699+00:00,50.1
A,Station A — Rooftop Node,humidity,%,2,2026-08-26T07:00:09.172699+00:00,51.0
A,Station A — Rooftop Node,humidity,%,3,2026-08-26T07:15:09.172699+00:00,51.4
A,Station A — Rooftop Node,humidity,%,4,2026-08-26T07:30:09.172699+00:00,52
A,Station A — Rooftop Node,pressure,hPa,0,2026-08-26T06:30:09.172699+00:00,1013.2
A,Station A — Rooftop Node,pressure,hPa,1,2026-08-26T06:45:09.172699+00:00,1013.2
A,Station A — Rooftop Node,pressure,hPa,2,2026-08-26T07:00:09.172699+00:00,1012.9
A,Station A — Rooftop Node,pressure,hPa,3,2026-08-26T07:15:09.172699+00:00,1012.6
A,Station A — Rooftop Node,pressure,hPa,4,2026-08-26T07:30:09.172699+00:00,1012.5
A,Station A — Rooftop Node,aqi,AQI,0,2026-08-26T06:30:09.172699+00:00,41
A,Station A — Rooftop Node,aqi,AQI,1,2026-08-26T06:45:09.172699+00:00,42
A,Station A — Rooftop Node,aqi,AQI,2,2026-08-26T07:00:09.172699+00:00,43
A,Station A — Rooftop Node,aqi,AQI,3,2026-08-26T07:15:09.172699+00:00,41
A,Station A — Rooftop Node,aqi,AQI,4,2026-08-26T07:30:09.172699+00:00,38
A,Station A — Rooftop Node,light,klx,0,2026-08-26T06:30:09.172699+00:00,5.4
A,Station A — Rooftop Node,light,klx,1,2026-08-26T06:45:09.172699+00:00,5.1
A,Station A — Rooftop Node,light,klx,2,2026-08-26T07:00:09.172699+00:00,5.3
A,Station A — Rooftop Node,light,klx,3,2026-08-26T07:15:09.172699+00:00,5.4
A,Station A — Rooftop Node,light,klx,4,2026-08-26T07:30:09.172699+00:00,5.2
B,Station B — Field Node,temp,°C,0,2026-08-26T06:30:09.172699+00:00,29.8
B,Station B — Field Node,temp,°C,1,2026-08-26T06:45:09.172699+00:00,29.4
B,Station B — Field Node,temp,°C,2,2026-08-26T07:00:09.172699+00:00,29.2
B,Station B — Field Node,temp,°C,3,2026-08-26T07:15:09.172699+00:00,29.7
B,Station B — Field Node,temp,°C,4,2026-08-26T07:30:09.172699+00:00,29.3
B,Station B — Field Node,humidity,%,0,2026-08-26T06:30:09.172699+00:00,63.6
B,Station B — Field Node,humidity,%,1,2026-08-26T06:45:09.172699+00:00,64.4
B,Station B — Field Node,humidity,%,2,2026-08-26T07:00:09.172699+00:00,64.6
B,Station B — Field Node,humidity,%,3,2026-08-26T07:15:09.172699+00:00,65.5
B,Station B — Field Node,humidity,%,4,2026-08-26T07:30:09.172699+00:00,64.5
B,Station B — Field Node,pressure,hPa,0,2026-08-26T06:30:09.172699+00:00,1008.2
B,Station B — Field Node,pressure,hPa,1,2026-08-26T06:45:09.172699+00:00,1008.1
B,Station B — Field Node,pressure,hPa,2,2026-08-26T07:00:09.172699+00:00,1008.5
B,Station B — Field Node,pressure,hPa,3,2026-08-26T07:15:09.172699+00:00,1008.5
B,Station B — Field Node,pressure,hPa,4,2026-08-26T07:30:09.172699+00:00,1008.7
B,Station B — Field Node,aqi,AQI,0,2026-08-26T06:30:09.172699+00:00,73
B,Station B — Field Node,aqi,AQI,1,2026-08-26T06:45:09.172699+00:00,75
B,Station B — Field Node,aqi,AQI,2,2026-08-26T07:00:09.172699+00:00,76
B,Station B — Field Node,aqi,AQI,3,2026-08-26T07:15:09.172699+00:00,78
B,Station B — Field Node,aqi,AQI,4,2026-08-26T07:30:09.172699+00:00,78
B,Station B — Field Node,light,klx,0,2026-08-26T06:30:09.172699+00:00,7.4
B,Station B — Field Node,light,klx,1,2026-08-26T06:45:09.172699+00:00,7.2
B,Station B — Field Node,light,klx,2,2026-08-26T07:00:09.172699+00:00,6.9
B,Station B — Field Node,light,klx,3,2026-08-26T07:15:09.172699+00:00,7.1
B,Station B — Field Node,light,klx,4,2026-08-26T07:30:09.172699+00:00,7.1
C,Station C — Coastal Node,temp,°C,0,2026-08-26T06:30:09.172699+00:00,40.5
C,Station C — Coastal Node,temp,°C,1,2026-08-26T06:45:09.172699+00:00,40.4
C,Station C — Coastal Node,temp,°C,2,2026-08-26T07:00:09.172699+00:00,40.5
C,Station C — Coastal Node,temp,°C,3,2026-08-26T07:15:09.172699+00:00,40.3
C,Station C — Coastal Node,temp,°C,4,2026-08-26T07:30:09.172699+00:00,39.8
C,Station C — Coastal Node,humidity,%,0,2026-08-26T06:30:09.172699+00:00,31.7
C,Station C — Coastal Node,humidity,%,1,2026-08-26T06:45:09.172699+00:00,32.8
C,Station C — Coastal Node,humidity,%,2,2026-08-26T07:00:09.172699+00:00,32.2
C,Station C — Coastal Node,humidity,%,3,2026-08-26T07:15:09.172699+00:00,31.5
C,Station C — Coastal Node,humidity,%,4,2026-08-26T07:30:09.172699+00:00,31.2
C,Station C — Coastal Node,pressure,hPa,0,2026-08-26T06:30:09.172699+00:00,1017.8
C,Station C — Coastal Node,pressure,hPa,1,2026-08-26T06:45:09.172699+00:00,1018.0
C,Station C — Coastal Node,pressure,hPa,2,2026-08-26T07:00:09.172699+00:00,1017.7
C,Station C — Coastal Node,pressure,hPa,3,2026-08-26T07:15:09.172699+00:00,1017.8
C,Station C — Coastal Node,pressure,hPa,4,2026-08-26T07:30:09.172699+00:00,1017.9
C,Station C — Coastal Node,aqi,AQI,0,2026-08-26T06:30:09.172699+00:00,45
C,Station C — Coastal Node,aqi,AQI,1,2026-08-26T06:45:09.172699+00:00,46
C,Station C — Coastal Node,aqi,AQI,2,2026-08-26T07:00:09.172699+00:00,49
C,Station C — Coastal Node,aqi,AQI,3,2026-08-26T07:15:09.172699+00:00,48
C,Station C — Coastal Node,aqi,AQI,4,2026-08-26T07:30:09.172699+00:00,46
C,Station C — Coastal Node,light,klx,0,2026-08-26T06:30:09.172699+00:00,9.1
C,Station C — Coastal Node,light,klx,1,2026-08-26T06:45:09.172699+00:00,9.2
C,Station C — Coastal Node,light,klx,2,2026-08-26T07:00:09.172699+00:00,9.5
C,Station C — Coastal Node,light,klx,3,2026-08-26T07:15:09.172699+00:00,9.6
C,Station C — Coastal Node,light,klx,4,2026-08-26T07:30:09.172699+00:00,9.6
